<big class="word">Mozambique</big>	<small class="ipa">ˌməʊzamˈbiːk</small>	PHOTO: AGENCE FRANCE-PRESSE Published 1 hour ago BEIRA (<b>Mozambique</b>) • Rescue workers extended their search in <b>Mozambique</b> yesterday for survivors of devastating floods following a powerful cyclone that ripped through southern Africa a week ago, killing hundreds and destroying buildings and farmland. 	A country on the east coast of southern Africa; population 28,000,000 (estimated 2015); languages, Portuguese (official), Bantu languages; capital, Maputo.
<big class="word">contra</big>	<small class="ipa">ˈkɒntrə</small>	Now Duo exploited <b>contra</b> trading for nefarious ends, says prosecution Published 1 hour ago Accused, lover allegedly tapped personal and business ties to control trading accounts Malaysian businessman John Soh Chee Wen and girlfriend Quah Su-Ling tapped family members, friends, associates and companies related to them, and "exploited <b>contra</b> trading to serve their nefarious ends", prosecutors yesterday outlined on the first day of the trial of Singapore's most serious case of stock market manipulation. 	A member of a guerrilla force in Nicaragua which opposed the left-wing Sandinista government 1979–90, and was supported by the US for much of that time.
<big class="word">magnate</big>	<small class="ipa">ˈmaɡneɪt</small>	Thaksin, a former policeman who became a billionaire telecommunications <b>magnate</b>, became premier in 2001 when he won at the polls. 	A wealthy and influential businessman or businesswoman.
<big class="word">indicted</big>	<small class="ipa">ɪnˈdʌɪt</small>	NO MORE INDICTMENTS Mr Trump's former national security adviser Mike Flynn, his former personal lawyer Michael Cohen and his campaign chairman Paul Manafort are among the 34 individuals already <b>indicted</b> by Mr Mueller, but they will be the last, according to Mr Barr. 	Formally accuse of or charge with a crime.
<big class="word">harrowing</big>	<small class="ipa">ˈharəʊɪŋ</small>	WASHINGTON POST Stricken cruise ship docks after <b>harrowing</b> rescue at sea Viking Sky cruise ship arrives, after problems the ship got in the storm outside of Hustadvika, at Molde, Norway, on March 24, 2019. 	Acutely distressing.
<big class="word">Edinburgh</big>	<small class="ipa">ˈɛdɪnbərə</small>	Flight bound for Dusseldorf flown to <b>Edinburgh</b> by mistake Published 1 hour ago LONDON • Passengers aboard a British Airways flight from London to Dusseldorf yesterday got a surprise when their plane landed in <b>Edinburgh</b> instead of the German city. 	The capital of Scotland, on the southern shore of the Firth of Forth; population 449,100 (est. 2009). The city grew up round the 11th-century castle built by Malcolm III on a rocky ridge that dominates the landscape.
<big class="word">al fresco</big>	<small class="ipa">Error: Page not found</small>	Long wait at Johor Customs leads to <b>al fresco</b> dinner A posting on Facebook showing tourists eating packed food during a long wait to clear Customs at the Sultan Abu Bakar Complex in Johor.PHOTO: IVY CHEE/ FACEBOOK Published 1 hour ago JOHOR BARU • A netizen said to be a tour guide has posted on	Error: Page not found
<big class="word">Hamas</big>	<small class="ipa">haˈmas</small>	REUTERS Netanyahu cuts short US trip on rising Gaza tensions Israeli police examining a house in Moshav Mishmeret, north of Tel Aviv, yesterday that was hit by a rocket that the military said was launched by <b>Hamas</b> from about 120km away. 	A Palestinian Islamic movement founded in 1987 with the aim of establishing a Palestinian state incorporating present-day Israel and the West Bank. In 2006 Hamas defeated the more moderate Fatah in the elections for the Palestinian National Authority.
<big class="word">Penal</big>	<small class="ipa">ˈpiːn(ə)l</small>	Both men are assisting the police with investigations, for the offence of communicating an electronic record to incite violence under Section 267C of the <b>Penal</b> Code. 	Relating to, used for, or prescribing the punishment of offenders under the legal system.
<big class="word">tsar</big>	<small class="ipa">zɑː</small>	Subscribe Now China jails ex-Internet <b>tsar</b> 14 years for corruption Former chief Internet regulator Lu Wei pleaded guilty in October, after prosecutors accused him of abusing his power in various government posts over 15 years.PHOTO: REUTERS Published 1 hour ago Former chief Web regulator	An emperor of Russia before 1917.
