id	word_key	book_key	dict_key	pos	usage	timestamp
The_Straits_Times:C51C5486:132289:13	en:Mozambique	The_Straits_Times:C51C5486	B0053VMNYW	132289	PHOTO: AGENCE FRANCE-PRESSE Published 1 hour ago BEIRA (Mozambique) • Rescue workers extended their search in Mozambique yesterday for survivors of devastating floods following a powerful cyclone that ripped through southern Africa a week ago, killing hundreds and destroying buildings and farmland. 	1553471513506
The_Straits_Times:23A71D10:16334:9	en:contra	The_Straits_Times:23A71D10	B0053VMNYW	16334	"Now Duo exploited contra trading for nefarious ends, says prosecution Published 1 hour ago Accused, lover allegedly tapped personal and business ties to control trading accounts Malaysian businessman John Soh Chee Wen and girlfriend Quah Su-Ling tapped family members, friends, associates and companies related to them, and ""exploited contra trading to serve their nefarious ends"", prosecutors yesterday outlined on the first day of the trial of Singapore's most serious case of stock market manipulation. "	1553555949691
The_Straits_Times:23A71D10:49605:10	en:magnate	The_Straits_Times:23A71D10	B0053VMNYW	49605	Thaksin, a former policeman who became a billionaire telecommunications magnate, became premier in 2001 when he won at the polls. 	1553556194871
The_Straits_Times:23A71D10:70266:11	en:indicted	The_Straits_Times:23A71D10	B0053VMNYW	70266	NO MORE INDICTMENTS Mr Trump's former national security adviser Mike Flynn, his former personal lawyer Michael Cohen and his campaign chairman Paul Manafort are among the 34 individuals already indicted by Mr Mueller, but they will be the last, according to Mr Barr. 	1553556465406
The_Straits_Times:23A71D10:83855:12	en:harrowing	The_Straits_Times:23A71D10	B0053VMNYW	83855	WASHINGTON POST Stricken cruise ship docks after harrowing rescue at sea Viking Sky cruise ship arrives, after problems the ship got in the storm outside of Hustadvika, at Molde, Norway, on March 24, 2019. 	1553593834246
The_Straits_Times:23A71D10:106789:12	en:Edinburgh	The_Straits_Times:23A71D10	B0053VMNYW	106789	Flight bound for Dusseldorf flown to Edinburgh by mistake Published 1 hour ago LONDON • Passengers aboard a British Airways flight from London to Dusseldorf yesterday got a surprise when their plane landed in Edinburgh instead of the German city. 	1553593877610
The_Straits_Times:23A71D10:122198:12	en:al fresco	The_Straits_Times:23A71D10	B0053VMNYW	122198	Long wait at Johor Customs leads to al fresco dinner A posting on Facebook showing tourists eating packed food during a long wait to clear Customs at the Sultan Abu Bakar Complex in Johor.PHOTO: IVY CHEE/ FACEBOOK Published 1 hour ago JOHOR BARU • A netizen said to be a tour guide has posted on	1553594152618
The_Straits_Times:23A71D10:135753:8	en:Hamas	The_Straits_Times:23A71D10	B0053VMNYW	135753	REUTERS Netanyahu cuts short US trip on rising Gaza tensions Israeli police examining a house in Moshav Mishmeret, north of Tel Aviv, yesterday that was hit by a rocket that the military said was launched by Hamas from about 120km away. 	1553594404127
The_Straits_Times:23A71D10:167001:8	en:Penal	The_Straits_Times:23A71D10	B0053VMNYW	167001	Both men are assisting the police with investigations, for the offence of communicating an electronic record to incite violence under Section 267C of the Penal Code. 	1553595444015
The_Straits_Times:23A71D10:217530:10	en:en bloc	The_Straits_Times:23A71D10	B0053VMNYW	217530	ness of the location, which is sea-facing and has an MRT station coming up nearby, and the spaciousness of the units.ST FILE PHOTO Published 1 hour ago Despite record $2.927b asking price, only 68% of the units signed agreement, below the 80% needed Mandarin Gardens, a sprawling leasehold condominium in Siglap, has failed in its attempt to sell en bloc, despite a record-high asking price of $2.927 billion. 	1553596751034
The_Straits_Times:57111DD7:69310:7	en:tsar	The_Straits_Times:57111DD7	B0053VMNYW	69310	Subscribe Now China jails ex-Internet tsar 14 years for corruption Former chief Internet regulator Lu Wei pleaded guilty in October, after prosecutors accused him of abusing his power in various government posts over 15 years.PHOTO: REUTERS Published 1 hour ago Former chief Web regulator	1553643762826
The_Straits_Times:776B9AB7:44299:6	en:vie	The_Straits_Times:776B9AB7	B0053VMNYW	44299	It took 15 years for sea bass developed at the Marine Aquaculture Centre on St John's Island to reach farms for mass production last year. 3 projects vie for $20m funding in healthcare research challenge Published 2 hours ago Three projects using artificial intelligence technologies were unveiled yesterday to battle it out in a healthcare research challenge that promises funding of up to $20 million for the winner. 	1553730755122
The_Straits_Times:776B9AB7:148875:9	en:logjam	The_Straits_Times:776B9AB7	B0053VMNYW	148875	AGENCE FRANCE-PRESSE How no-deal exit will hit Britain Published 2 hours ago LONDON • If Britain fails to break its Brexit logjam, the country is faced with the prospect of crashing out of the European Union on April 12. 	1553730885823
The_Straits_Times:F8C2176B:30692:13	en:ambivalent	The_Straits_Times:F8C2176B	B0053VMNYW	30692	They desire some separation between religion and politics, and are ambivalent towards those of other faiths. 	1553816327960
The_Straits_Times:F8C2176B:31082:12	en:perennial	The_Straits_Times:F8C2176B	B0053VMNYW	31082	"Researchers suggest the cluster, which represents the ""perennial segment of less religious people in society"", may encourage contestations over issues pertinent to religion and the law. "	1553816368978
The_Straits_Times:F8C2176B:94952:8	en:moots	The_Straits_Times:F8C2176B	B0053VMNYW	94952	REUTERS Taiwan moots death penalty for drink drivers Published 1 hour ago Rights groups protest over plan to execute those who kill while driving intoxicated TAIPEI • Taiwan plans to ramp up punishments for those who cause a fatal accident while drink driving, including the death penalty for the most egregious cases, sparking an outcry from abolition	1553816560935
The_Straits_Times:5E399786:53299:7	en:nigh	The_Straits_Times:5E399786	B0053VMNYW	53299	"PHOTO: AGENCE FRANCE-PRESSE Published 1 hour ago Country will bid farewell to Heisei era when Emperor Akihito abdicates on April 30 The end of an era is nigh for Japan, which will bid farewell to the Heisei (""achieving peace"") period when its revered Emperor Akihito steps down on April 30 and usher in a new epoch as the clock strikes midnight on May 1. "	1554074953552
The_Straits_Times:5E399786:54760:12	en:ordinance	The_Straits_Times:5E399786	B0053VMNYW	54760	A Cabinet meeting will follow to approve an ordinance for the new name. 	1554074988410
The_Straits_Times:5E399786:80962:8	en:junta	The_Straits_Times:5E399786	B0053VMNYW	80962	"Both the Palang Pracharath Party - which seeks to keep junta leader Prayut Chan-o-cha in office - and an anti-junta ""democratic front"" of seven parties, led by Pheu Thai, have claimed a mandate to form the next government. "	1554075047072
The_Straits_Times:295CA9ED:63549:6	en:err	The_Straits_Times:295CA9ED	B0053VMNYW	63549	ShanmugamPHOTO: GOV.SG Published 1 hour ago Minister outlines Republic's approach to preserving racial harmony and tackling hate speech Singapore is prepared to err on the side of caution to preserve racial harmony, said Law and Home Affairs Minister K. 	1554162093518
The_Straits_Times:295CA9ED:242021:14	en:significant	The_Straits_Times:295CA9ED	B0053VMNYW	242021	"Hadi Health Ministry to spell out doctors' obligations clearly HEALTH MINISTER GAN KIM YONG Published 1 hour ago This follows concern in medical profession over recent SMC rulings and CGH negligence case Singapore does not want to go the way of the United States, where a ""significant fraction of healthcare costs goes towards medical indemnity insurance"", said Health Minister Gan Kim Yong. "	1554247950589
The_Straits_Times:295CA9ED:242084:12	en:indemnity	The_Straits_Times:295CA9ED	B0053VMNYW	242084	"Hadi Health Ministry to spell out doctors' obligations clearly HEALTH MINISTER GAN KIM YONG Published 1 hour ago This follows concern in medical profession over recent SMC rulings and CGH negligence case Singapore does not want to go the way of the United States, where a ""significant fraction of healthcare costs goes towards medical indemnity insurance"", said Health Minister Gan Kim Yong. "	1554247957677
The_Straits_Times:295CA9ED:297970:8	en:Midas	The_Straits_Times:295CA9ED	B0053VMNYW	297970	Midas faces liquidation after failing to find rescuer Published 1 hour ago Insolvent Midas Holdings is facing liquidation after it failed to lock in a rescue deal from Hong Kong-listed CRRC Corp. 	1554248385855
The_Straits_Times:93F6441D:116336:9	en:apogee	The_Straits_Times:93F6441D	B0053VMNYW	116336	"But 24 of the pieces ""are going above the apogee of the International Space Station"", added Mr Bridenstine. "	1554286516658
The_Straits_Times:93F6441D:199415:18	en:serendipitously	The_Straits_Times:93F6441D	B0053VMNYW	199415	Mr Lim had almost jumped off a block in 2011 but changed his mind when a friend serendipitously texted him - without knowing he was sitting on the ledge of the 21st floor - asking him out for coffee. 	1554287019324
The_Straits_Times:41F1E8A6:115352:16	en:proselytising	The_Straits_Times:41F1E8A6	B0053VMNYW	115352	RAYMOND KOH, 64 Aug 2011: State religious authority investigates Mr Koh's non-profit organisation Harapan Komuniti for proselytising to Muslims after it hosted a thanksgiving dinner. 	1554334612380
The_Straits_Times:DE1A8188:133872:10	en:harried	The_Straits_Times:DE1A8188	B0053VMNYW	133872	AGENCE FRANCE-PRESSE Ardern pays for groceries of mum who forgot purse Published 1 hour ago WELLINGTON • New Zealand Prime Minister Jacinda Ardern has confirmed that she paid for a harried mother's groceries, a gesture sure to enhance a reputation already soaring because of her response to the Christchurch mosque attacks. 	1554475152840
